Comune,Nucleo_ID,Popolazione,mean_km,St.Dv_km,mean_min,St.Dv_min
ACCUMOLI,5700110001,130.0,118.61233333333332,45.5151902811944,105.72777777777779,35.74496986109193
ACCUMOLI,5700110002,124.0,118.96799999999999,45.51575670029006,105.0111111111111,35.74496986109193
ACCUMOLI,5700110003,12.0,115.141,45.48211977249961,111.4388888888889,35.65334772084808
ACCUMOLI,5700124913,1.0,115.258,45.482119772499615,111.60555555555555,35.653347720848096
ACCUMOLI,5700124914,4.0,117.322,45.482119772499615,115.03888888888889,35.653347720848096
ACCUMOLI,5700126606,23.0,114.612,45.51575670029006,102.83333333333333,35.735428265704805
ACCUMOLI,5700120011,24.0,117.91733333333332,45.51519028119441,105.78333333333333,35.735428265704805
ACCUMOLI,5700120003,39.0,114.42699999999999,45.51575670029006,100.62777777777778,35.74496986109193
ACCUMOLI,5700120207,5.0,115.483,45.51575670029007,103.72222222222221,35.741278397414405
ACCUMOLI,5700126601,20.0,114.916,45.48211977249961,111.42222222222223,35.65334772084809
ACCUMOLI,5700126612,12.0,121.89666666666666,45.51537665815074,111.60000000000001,35.7354282657048
ACCUMOLI,5700126604,19.0,116.16233333333332,45.51519028119441,103.92222222222223,35.74127839741441
ACCUMOLI,5700126605,15.0,114.75833333333334,45.51519028119441,101.45555555555555,35.741278397414405
ACCUMOLI,5700124902,29.0,111.814,45.48211977249961,106.08888888888889,35.65334772084809
ACCUMOLI,5700126608,7.0,123.62133333333333,45.5151902811944,118.1888888888889,35.741278397414405
ACCUMOLI,5700126609,13.0,110.52666666666667,45.48268595117633,103.47222222222221,35.65334772084809
ACCUMOLI,5700127615,1.0,116.28233333333333,45.51519028119439,102.25555555555555,35.7412783974144
ACCUMOLI,5700126610,12.0,117.74966666666667,45.482685951176336,115.51666666666668,35.649711702122424
ACQUAFONDATA,6000110001,185.0,48.175,21.8738518098665,57.083333333333336,21.542000319788734
ACQUAFONDATA,6000110002,64.0,51.09033333333334,21.286196121743625,63.883333333333326,20.97050176901937
ACQUAFONDATA,6000126601,6.0,52.006,21.285809239960784,65.63888888888889,20.974119855281263
ACQUAPENDENTE,5600110001,3833.0,41.49666666666666,35.07291955816244,44.233333333333334,35.05863342712858
ACQUAPENDENTE,5600110002,272.0,46.800333333333334,32.41816727289396,49.97222222222223,31.330927803642155
ACQUAPENDENTE,5600120001,277.0,42.17733333333334,34.943740531507686,43.461111111111116,34.18957091364645
ACQUAPENDENTE,5600110003,120.0,54.811,36.34990096272615,60.272222222222226,36.979428715816425
ACUTO,6000210001,1582.0,27.719666666666665,5.134418110490548,33.01111111111111,11.42779668339602
ACUTO,6000220003,56.0,25.717000000000002,6.14848135721334,31.633333333333333,12.557766521161316
ACUTO,6000220001,128.0,27.993666666666666,6.965544367336507,33.81111111111111,11.337380813208298
ACUTO,6000226602,17.0,25.58666666666667,7.62683711202313,32.12222222222222,13.490555681386612
ACUTO,6000226604,7.0,27.450666666666663,2.8503919613508137,32.72222222222222,7.810291169229744
AFFILE,5800110001,1297.0,27.115666666666662,10.915064376050804,36.86666666666667,12.142292937405923
AFFILE,5800126602,20.0,25.44566666666667,15.58875749806037,33.266666666666666,18.376487090240555
AFFILE,5800126701,28.0,24.618000000000002,10.914487069945157,32.144444444444446,12.151912667620744
AGOSTA,5800210001,1010.0,32.10733333333334,22.834830683263966,31.144444444444442,19.2834869868074
AGOSTA,5800210002,389.0,32.906,25.42250349591873,31.25,21.698060589217032
AGOSTA,5800220002,142.0,32.052,23.818174636189063,30.56111111111111,20.056485050790748
AGOSTA,5800220003,47.0,32.49333333333333,24.848867224349146,31.15,21.40438688161326
ALATRI,6000310005,1252.0,16.963666666666665,13.921856245965671,21.138888888888886,12.19690686350589
ALATRI,6000310001,9780.0,18.587666666666667,20.011729818617216,22.255555555555556,20.0694096501044
ALATRI,6000320003,43.0,16.66,12.673049080627754,22.522222222222222,12.3655472688943
ALATRI,6000320002,80.0,19.041666666666668,17.099677024240354,18.933333333333334,10.02951200762585
ALATRI,6000310014,375.0,16.976333333333333,14.395993898766886,19.85,12.126142557851335
ALATRI,6000310009,331.0,18.151,15.885234559174755,22.70555555555556,14.449205411960792
ALATRI,6000310013,648.0,16.346666666666668,13.221831731395365,21.049999999999997,13.446096087712595
ALATRI,6000310016,183.0,20.359666666666666,17.105451801496894,24.677777777777777,16.320550553531287
ALATRI,6000310003,597.0,21.641333333333332,20.303379185084765,25.42222222222222,20.294288559793074
ALATRI,6000310010,137.0,17.412333333333333,17.137456938919886,20.472222222222225,16.012463317100263
ALATRI,6000310002,761.0,16.189333333333334,14.429609015262102,19.611111111111114,12.238388298634266
ALATRI,6000310007,116.0,19.78666666666667,18.161084668414862,19.788888888888888,11.43401763420274
ALATRI,6000320004,42.0,16.730666666666668,12.400953041332482,21.583333333333332,12.138140073522154
ALATRI,6000310011,1179.0,19.627666666666666,18.397220125152966,24.46666666666667,18.017861508329265
ALATRI,6000310018,100.0,16.247,14.41016484985512,19.672222222222224,12.261732854396747
ALATRI,6000310019,468.0,19.738,18.384473585066285,25.122222222222227,17.57438424188687
ALBANO LAZIALE,5800310001,27443.0,13.698666666666666,4.973270989332206,23.91111111111111,8.127154984873128
ALBANO LAZIALE,5800310002,9433.0,10.944666666666667,7.38737993698262,18.955555555555556,13.143992431412803
ALBANO LAZIALE,5800320002,1096.0,13.665999999999999,6.311994851075213,23.116666666666664,10.50120363471625
ALBANO LAZIALE,5800320007,38.0,14.395666666666665,6.319772490630761,24.09444444444444,10.532612492915796
