Comune,Nucleo_ID,Popolazione,SI_mean_km,SI_St.Dv_km,SI_mean_min,SI_St.Dv_min,SP_mean_km,SP_St.Dv_km,SP_mean_min,SP_St.Dv_min,SS_mean_km,SS_St.Dv_km,SS_mean_min,SS_St.Dv_min,IC_mean_km,IC_St.Dv_km,IC_mean_min,IC_St.Dv_min
POZZAGLIA SABINA,5705810001.0,48.0,20.373,,27.816666666666666,,20.745,,29.666666666666668,,20.962,,28.399999999999995,,20.962,,28.399999999999995,
POZZAGLIA SABINA,5705810002.0,39.0,17.612,,25.366666666666667,,17.985,,27.21666666666667,,18.202,,25.95,,18.202,,25.95,
POZZAGLIA SABINA,5705820001.0,79.0,26.136000000000003,,40.9,,26.508,,42.75,,26.725,,41.483333333333334,,26.725,,41.483333333333334,
POZZAGLIA SABINA,5705810003.0,136.0,23.023,,32.06666666666667,,23.395,,33.916666666666664,,23.612,,32.65,,23.612,,32.65,
RIETI,5705910006.0,55.0,11.560571428571428,3.2624039912613214,18.284523809523808,4.119857396740204,16.270200000000003,15.439349466721566,22.77,15.73964052799864,16.475714285714286,19.184676999403155,23.033333333333335,19.783691375586216,20.338399999999996,21.990444624881963,27.073333333333334,22.429719248255328
RIETI,5705910012.0,215.0,8.877928571428571,5.766004328612876,13.439285714285715,6.9514390293488555,12.660299999999998,17.328054901741794,16.865,16.73037721047969,15.503285714285713,20.380887915841527,19.6,19.312663759344062,18.177599999999998,24.251480486766162,22.219999999999995,23.050148830563135
RIETI,5705910001.0,440.0,6.596214285714287,5.432621370070755,10.488095238095239,6.427685938200973,10.5225,17.032481213193154,14.07,16.116640430481535,12.871714285714285,20.339964304412185,15.980952380952385,19.16239186283283,15.522,24.21781673685718,18.71666666666667,22.797995769609027
RIETI,5705910004.0,64.0,9.723785714285714,5.54550285128647,17.798809523809528,6.592871909282783,13.6996,17.127854300330014,21.384999999999998,16.168822784819977,16.045142857142856,20.47188211855936,22.85,19.404707809837934,18.6102,24.41436815074271,25.833333333333332,22.965983298976965
RIETI,5705910002.0,557.0,8.06007142857143,5.230719121972336,13.123809523809523,5.792390064712723,12.0797,16.64393165390918,16.859999999999996,15.643665542478793,14.35257142857143,19.810823841670857,19.190476190476186,18.526939487473012,16.7996,23.716851462620415,21.036666666666665,22.487704665241207
RIETI,5705910014.0,60.0,20.27407142857143,6.082523647104252,27.685714285714287,7.325691989550415,24.111300000000004,17.37201496053031,30.846666666666668,16.905966877093505,28.283571428571424,19.462253080061952,34.68571428571428,18.834403677970855,29.7806,23.893918667727988,36.56,22.872680817468204
RIETI,5705910009.0,240.0,8.285357142857144,5.547060033610913,13.627380952380953,6.620305487641394,12.266400000000003,17.123624182852055,17.286666666666665,16.230581560060553,14.593428571428573,20.471769593411175,18.73095238095238,19.474576086698622,17.1588,24.414051542093542,21.736666666666668,23.05391747862196
RIETI,5705920001.0,26.0,16.148642857142857,5.988136330177463,22.534523809523808,7.1727805295457445,19.807599999999997,17.432183258431962,25.754999999999995,16.641920610462556,23.770000000000003,19.776525065508014,29.547619047619044,18.494482231624467,25.665,24.023730299435183,31.169999999999995,22.60272353304157
RIETI,5705920002.0,61.0,8.759214285714286,5.672429871127288,13.946428571428571,6.7543344063114965,12.5741,17.255573054330398,17.39666666666667,16.536739493818597,15.303285714285714,20.38088791584153,19.988095238095237,19.237056048076205,17.9776,24.251480486766162,22.55666666666667,22.978394441542502
RIETI,5705910013.0,149.0,13.627714285714285,6.1129994957602305,18.92738095238095,7.305724857251722,17.3162,17.576645178569585,22.2,16.979751921292667,20.487571428571428,20.380778116133047,25.316666666666666,19.24192711916505,23.1616,24.251480486766166,27.913333333333334,22.967989197528325
RIETI,5705910017.0,173.0,11.461142857142859,5.790613025301484,18.255952380952383,6.662975282971536,15.2357,17.34624534493464,21.703333333333337,16.502644382187306,18.415857142857142,20.24817778985368,24.511904761904763,19.16897984661125,20.78,24.251271255338345,26.899999999999995,22.957185391748506
RIETI,5705910010.0,202.0,20.443,6.313218635407896,27.550000000000004,7.978590475949118,27.4821,16.186124417400094,35.29666666666667,16.226180643380157,27.92328571428571,19.92964923352713,35.366666666666674,20.35808147840757,31.7162,23.023209044353482,40.10666666666666,22.8857597645348
