Comune,Popolazione_totale,SI_mean_km,SP_mean_km,SS_mean_km,IC_mean_km,SI_mean_min,SP_mean_min,SS_mean_min,IC_mean_min,SI_St.Dv_km,SP_St.Dv_km,SS_St.Dv_km,IC_St.Dv_km,SI_St.Dv_min,SP_St.Dv_min,SS_St.Dv_min,IC_St.Dv_min
ACCUMOLI,369.0,6.135867208672087,6.135867208672087,65.9310840108401,65.9310840108401,44.69602529358627,44.69602529358627,157.01287262872626,157.01287262872626,6.6972904869556515,6.6972904869556515,20.779140556497193,20.779140556497193,45.63666289289786,45.63666289289786,74.88058845774236,74.88058845774236
ACQUAFONDATA,249.0,5.129373493975903,17.74484738955823,10.550638554216867,,56.77255689424365,93.88159303882193,31.350468540829986,,3.156524671216748,36.858648076129974,3.6359430688612284,,7.719249027953147,95.82475396379695,0.04714045207910551,
ACQUAPENDENTE,4502.0,2.333693025322079,2.1182461128387384,2.353551088405154,2.1182461128387384,9.183744261809567,6.699278098622835,10.763827187916482,6.699278098622835,11.526206614349174,11.42871090718459,11.186132799140193,11.42871090718459,16.29543789826761,17.122783041143578,16.888684437724482,17.122783041143578
ACUTO,1766.0,1.5618776896942241,1.5618776896942241,1.5618776896942241,12.066115515288788,8.73693846734617,8.73693846734617,8.73693846734617,62.39012835032088,21.360090659919962,21.360090659919962,21.360090659919962,3.16486813838007,41.868220291414,41.868220291414,41.868220291414,20.940897872433833
AFFILE,1325.0,0.16003849056603772,0.4693411320754717,0.4693411320754717,9.335751698113208,2.1795220125786163,6.300176100628931,6.300176100628931,11.50491823899371,1.3732013690642753,1.3498668452851192,1.3498668452851192,2.5682118292695404,23.853068752026207,23.42880468331427,23.42880468331427,14.106780284671622
AGOSTA,1588.0,1.3616933249370278,1.3616933249370278,1.342509445843829,8.970139168765742,9.563539042821157,9.563539042821157,9.343807724601175,25.68037363560034,1.5844434091082795,1.5844434091082795,1.5818953557889557,1.222472085570873,6.313072489624942,6.313072489624942,6.270867017259108,2.6786881808770446
ALATRI,23292.0,8.794936601980654,9.265001049478125,5.45733517946076,5.277887271738508,43.797173087564644,48.37412217515472,28.95891865590474,25.902692149903643,4.37686290914573,4.242997159369194,8.313369080096514,8.488833557234697,27.089322545237128,28.47817863908288,52.01265647765391,52.56485002184378
ALBANO LAZIALE,38363.0,5.278538257348661,5.2259772697651385,5.068699901815116,4.965478160380228,40.600029035500064,41.56451198637576,40.85196543544562,39.050772590487945,0.7387136607101847,1.0691301925263494,1.3754018258456988,1.3742724590366595,8.429029600922487,9.885228518205476,11.978761127250971,11.715849255921567
ALLUMIERE,3642.0,0.8155205930807249,1.1451647446457989,0.7281779242174629,4.7316960461285005,9.504956068094453,11.02107358594179,9.373517298187808,20.84514003294893,1.101672365088641,1.0875302294649098,1.723926332532803,1.096722617620334,5.032243259444263,7.129993376964355,14.24820164090893,4.973317694345385
ALVITO,979.0,1.2050500510725228,1.35855873340143,1.0505188968335037,1.0505188968335037,12.685478379298607,15.068896833503572,11.64077289751447,11.64077289751447,1.9268821102150144,1.8812871923233838,2.0604484948670763,2.0604484948670763,11.711321287382404,11.65052057333189,12.043627483568352,12.043627483568352
AMASENO,2299.0,0.2559556328838625,0.6334984775989561,0.3350356676816007,0.3350356676816007,3.633935044222125,9.316166449180802,4.613208641438306,4.613208641438306,0.5119931640168646,0.5535746712654642,0.5048645858049462,0.5048645858049462,7.057756109153694,8.340891017329202,7.043139228013683,7.043139228013683
AMATRICE,1806.0,11.014126799557031,10.71444130675526,10.71444130675526,10.71444130675526,39.83313953488372,37.78594499815429,37.78594499815429,37.78594499815429,25.82557242375264,25.799888644715313,25.799888644715313,25.799888644715313,61.04773143438685,59.674445944577236,59.674445944577236,59.674445944577236
