Comune,Popolazione_totale_driving,SI_mean_km_driving,SP_mean_km_driving,SS_mean_km_driving,IC_mean_km_driving,SI_mean_min_driving,SP_mean_min_driving,SS_mean_min_driving,IC_mean_min_driving,SI_St.Dv_km_driving,SP_St.Dv_km_driving,SS_St.Dv_km_driving,IC_St.Dv_km_driving,SI_St.Dv_min_driving,SP_St.Dv_min_driving,SS_St.Dv_min_driving,IC_St.Dv_min_driving,Popolazione_totale_transit,SI_mean_km_transit,SP_mean_km_transit,SS_mean_km_transit,IC_mean_km_transit,SI_mean_min_transit,SP_mean_min_transit,SS_mean_min_transit,IC_mean_min_transit,SI_St.Dv_km_transit,SP_St.Dv_km_transit,SS_St.Dv_km_transit,IC_St.Dv_km_transit,SI_St.Dv_min_transit,SP_St.Dv_min_transit,SS_St.Dv_min_transit,IC_St.Dv_min_transit,SI_diff_km,SI_diff_min,SP_diff_km,SP_diff_min,SS_diff_km,SS_diff_min,IC_diff_km,IC_diff_min,std_diff
ROCCA CANTERANO,180.0,10.724333333333334,3.7963333333333327,12.671333333333337,14.300333333333336,18.216666666666665,7.172222222222223,19.18888888888889,21.072222222222223,1.156826694021191,1.1568266940211915,1.1568266940211924,1.156826694021191,1.272792206135786,1.249221980096234,1.2492219800962332,1.1431559629182522,180.0,80.91,3.8089999999999993,15.828333333333337,15.881999999999998,211.37222222222223,50.25555555555555,53.70555555555556,42.30555555555556,1.086116015902538,0.7297341981845175,1.0868231226837242,1.0861160159025367,2.6045099773704727,8.461711148199015,2.604509977370448,2.604509977370448,70.18566666666666,193.15555555555557,0.012666666666666604,43.08333333333333,3.157,34.51666666666667,1.5816666666666617,21.233333333333334,89.22009931287444
ROCCA MASSIMA,740.0,4.0486,6.3637783783783775,7.744589189189189,7.301872972972974,6.97536036036036,10.343828828828828,13.70716216216216,12.41864864864865,3.966174143092224,3.69612107485672,0.8790758404900759,0.8785797250866502,6.303533694447665,5.389573266966505,1.2619429464123968,1.1422849096503076,740.0,5.613097297297298,6.074410810810811,14.99514324324324,16.073143243243244,81.87126126126125,30.631666666666664,51.436081081081085,53.28608108108108,5.924491876946073,3.978035863756552,3.610215644528731,3.6102156445287306,84.35754318727278,4.1059690063956245,6.977669408217217,6.977669408217216,1.5644972972972973,74.8959009009009,-0.28936756756756665,20.287837837837834,7.25055405405405,37.72891891891892,8.771270270270271,40.86743243243243,27.891505309040152
ROIATE,627.0,6.757999999999999,0.727,6.757999999999999,8.52,13.366666666666664,1.9666666666666663,13.366666666666664,13.466666666666669,,,,,,,,,627.0,26.189,0.165,26.189,8.216,93.53333333333332,2.55,93.53333333333332,26.7,,,,,,,,,19.431,80.16666666666666,-0.5619999999999999,0.5833333333333335,19.431,80.16666666666666,-0.30400000000000027,13.23333333333333,45.94745892300771
SALISANO,321.0,0.4772367601246106,0.4772367601246106,12.458283489096573,12.580133956386293,0.9142263759086188,0.9142263759086188,18.74813084112149,20.86126687435099,3.12541197284454,3.12541197284454,3.365828278447966,2.795193106030422,4.820111225088299,4.820111225088299,5.161879502661794,3.98336820068422,321.0,0.7895420560747664,0.7895420560747664,27.31290965732088,27.69665420560748,6.965576323987539,6.965576323987539,131.5210280373832,131.5739875389408,5.960910165402596,5.960910165402596,5.664632424085434,25.564031460237253,37.9716341497176,37.9716341497176,33.48150608918302,76.3321770290878,0.31230529595015577,6.0513499480789195,0.31230529595015577,6.0513499480789195,14.854626168224307,112.7728971962617,15.116520249221187,110.71272066458981,61.615714032071686
SAMBUCI,811.0,0.376,8.566,8.35,8.35,1.2833333333333337,12.0,12.2,12.2,,,,,,,,,811.0,0.376,43.35,43.528,43.528,6.583333333333333,94.28333333333332,97.68333333333334,97.68333333333334,,,,,,,,,0.0,5.299999999999999,34.784,82.28333333333332,35.178,85.48333333333333,35.178,85.48333333333333,45.39831229527436
SAN BIAGIO SARACINISCO,157.0,11.55367515923567,0.5032038216560508,12.469675159235669,17.388541401273883,19.298089171974524,1.0222929936305734,19.183333333333326,24.820169851380044,1.4573470760254756,1.1165216074935589,1.4573470760254743,1.456639969244287,2.3688077169749326,1.9681138743025568,1.8502627441048023,2.1331054565794174,157.0,30.68641401273885,0.4633566878980891,12.370414012738854,19.932414012738853,125.98874734607216,6.311146496815287,26.30541401273885,112.17208067940554,1.4665394641808982,1.1490485194281397,1.4665394641808995,1.4665394641808982,3.4648232278140867,13.010764773832474,3.4648232278140867,3.4648232278140867,19.13273885350318,106.69065817409763,-0.03984713375796173,5.288853503184713,-0.09926114649681494,7.122080679405524,2.5438726114649697,87.3519108280255,58.022392712805456
TERELLE,163.0,10.964,0.176,11.452,14.07,19.45,0.4666666666666666,19.516666666666666,22.58333333333333,,,,,,,,,163.0,31.972000000000005,0.364,59.727,39.744,151.38333333333333,4.983333333333333,154.3,159.38333333333333,,,,,,,,,21.008000000000003,131.93333333333334,0.188,4.516666666666667,48.275,134.78333333333336,25.674,136.8,74.40041878117901
TOFFIA,809.0,0.4415735475896168,0.2771075401730531,13.098155747836834,5.788573547589617,1.4199011124845489,1.8715698393077875,18.655953852492782,9.10323444581788,1.1554124804588186,1.1462200923033936,1.4566399692442884,1.1554124804588175,1.3788582233137674,0.7542472332656507,3.170195402319685,1.3788582233137685,809.0,0.4415735475896168,0.2771075401730531,14.130406674907295,8.293573547589617,7.005274000824063,5.132632880098888,117.91407086938608,53.27253811289658,1.1554124804588186,1.1462200923033936,1.4516902217759826,1.1554124804588202,12.268302653586597,12.15045152338884,4.32513647825771,12.280087766606377,0.0,5.5853728883395135,0.0,3.2610630407911003,1.0322509270704607,99.2581170168933,2.505,44.169303667078694,54.76528672576512
TURANIA,213.0,28.623,12.722,28.112,28.112,37.66666666666666,19.83333333333333,38.61666666666667,38.61666666666667,,,,,,,,,213.0,96.958,17.572,100.302,100.302,194.41666666666663,111.48333333333332,196.1,196.1,,,,,,,,,68.335,156.74999999999997,4.85,91.64999999999999,72.19000000000001,157.48333333333332,72.19000000000001,157.48333333333332,37.79897607862668
VACONE,151.0,7.22,7.713,9.44,12.678,10.416666666666666,14.733333333333333,14.083333333333334,17.066666666666666,,,,,,,,,151.0,7.233,50.921,62.326,12.692,17.25,191.7,249.5666666666666,40.13333333333333,,,,,,,,,0.0129999999999999,6.833333333333334,43.208,176.96666666666667,52.886,235.48333333333326,0.013999999999999346,23.066666666666666,118.77876766555603
VALLINFREDA,292.0,20.683527397260274,5.090301369863013,15.56063698630137,21.24486301369863,30.54303652968036,7.997602739726028,25.34748858447488,28.193835616438356,0.1463711037056158,0.5062884553295681,0.5069955621107537,0.1456639969244284,0.4360491817317046,0.9781643806413904,0.9428090415820624,0.188561808316412,292.0,27.994897260273973,4.739917808219177,13.112897260273972,121.96089726027398,177.94326484018262,42.56678082191781,100.076598173516,265.4432648401826,0.5876057351660207,1.006920056409644,0.5876057351660207,0.5876057351660332,3.075914498161477,27.49466867513692,3.075914498161498,3.075914498161498,7.311369863013699,147.40022831050226,-0.3503835616438362,34.56917808219178,-2.4477397260273985,74.72910958904112,100.71603424657535,237.24942922374427,57.19084642738884
VARCO SABINO,116.0,15.886103448275865,18.483241379310343,18.14745689655172,18.14745689655172,27.300287356321835,31.48505747126437,30.62514367816092,30.62514367816092,2.061557986895672,3.1316591449262146,3.132181720994702,3.132181720994702,3.332458218459424,5.663757423137769,5.664076205283547,5.664076205283547,116.0,78.37754310344828,52.47972413793104,52.52027586206896,52.52027586206896,182.0433908045977,133.93117816091953,133.72399425287355,133.72399425287355,16.546566119087473,31.73109097294534,32.11158380294148,32.11158380294148,72.97424456868579,62.99806066973924,64.63002469899413,64.63002469899413,62.491439655172414,154.74310344827586,33.9964827586207,102.44612068965516,34.37281896551724,103.09885057471263,34.37281896551724,103.09885057471263,30.007025057550724
VIVARO ROMANO,165.0,22.979,7.999,16.672,23.541,33.666666666666664,12.416666666666666,25.58333333333333,31.166666666666668,,,,,,,,,165.0,31.06,11.901,18.311,151.362,184.76666666666668,58.266666666666666,67.46666666666667,317.3,,,,,,,,,8.081,151.10000000000002,3.902,45.85,1.6389999999999993,41.88333333333334,127.821,286.1333333333333,61.94295389337708
