Comune,Popolazione_totale,mean_km,mean_min,St.Dv_km,St.Dv_min
FILETTINO,509.0,0.599705304518664,1.3366077275703994,7.351384835525888,11.493814761765469
FIUGGI,9607.0,1.5239984039415704,2.59716410487723,2.663671244729725,3.873373812499644
FONDI,33212.0,1.4957541852342529,3.7564608508303556,3.448025458955961,3.6587517989925735
FONTANA LIRI,1928.0,1.032075726141079,2.3416205624711846,2.069138414359411,3.120849507119902
FONTE NUOVA,31026.0,0.9178697651432134,2.5263307835005766,1.500530209996157,2.1094489070271467
FONTECHIARI,252.0,0.9760039682539682,2.06739417989418,1.4452535172649355,2.4220581621300385
FORANO,2660.0,1.448014035087719,2.5523182957393487,1.5955146272992693,1.367449339271203
FORMELLO,12094.0,4.022240725428587,5.831545026918767,2.0371115301434486,2.114366051034215
FORMIA,35353.0,1.4768542320783717,3.3757355182807056,1.433514818829045,2.2573774798247084
FRASCATI,22080.0,3.562333333333333,10.422222222222222,,
FRASSO SABINO,645.0,0.9436883720930233,1.9605943152454783,0.44378758056830153,0.40849628267949145
FUMONE,1714.0,2.1296155192532087,3.6775087514585763,0.8984971897563175,1.5437216034275378
GAETA,18773.0,1.697868800937517,4.295843321081695,4.626835371563976,4.902607016226729
GALLESE,2019.0,1.524969787023279,2.6127043090638926,1.8631694322667849,2.407299855147379
GALLICANO NEL LAZIO,5649.0,2.687519915029209,6.359100922483822,2.068492991420458,2.59841178937452
GALLINARO,329.0,2.146392097264438,3.5052178318135767,1.7231202542812516,1.9004669304072168
GAVIGNANO,1192.0,1.61007466442953,3.029502237136465,1.4663327271348296,2.068467597294722
GENAZZANO,4500.0,0.6663686666666667,1.551572839506173,2.2386319904111223,2.7529958028759434
GENZANO DI ROMA,21190.0,1.5506499606732738,5.234637145404017,3.462452662847583,4.160924548660702
GERANO,957.0,0.916501567398119,3.342319749216301,0.08061017305526641,0.2474873734152917
GIULIANO DI ROMA,1263.0,2.092710213776722,3.1934283452098184,1.7371748616647662,1.9812664300054819
GORGA,573.0,1.5621989528795814,2.8090750436300174,3.8236617702581035,6.119761554299439
GRADOLI,1221.0,0.6089025389025389,1.9763035763035763,1.1917115143076085,1.1623730516108461
GRAFFIGNANO,1753.0,13.516324586423274,16.0032230462065,1.147423330772039,1.4271377726842709
