Comune,Popolazione_totale_driving,mean_km_driving,mean_min_driving,St.Dv_km_driving,St.Dv_min_driving,Popolazione_totale_transit,mean_km_transit,mean_min_transit,St.Dv_km_transit,St.Dv_min_transit,Hospital_diff_km,Hospital_diff_min
AFFILE,1325.0,12.485212075471695,18.966289308176098,1.7663527394039964,3.358757210636098,1345.0,9.244046096654271,22.322354399008677,2.8694872945063428,20.739182811858903,-3.241165978817424,3.3560650908325798
AGOSTA,1588.0,9.55075,12.41013853904282,1.1738038947513052,1.3932376362670909,1588.0,8.970139168765742,31.54021830394626,1.222472085570873,5.5088039805656805,-0.5806108312342584,19.130079764903442
ALBANO LAZIALE,38363.0,3.653844837473608,8.573358878780772,1.7389010884854013,2.7754093077232462,38363.0,7.565007507233533,37.466930810068725,4.713613178489361,19.28183604817988,3.911162669759925,28.89357193128795
ALLUMIERE,3642.0,14.286589785831964,19.075027457440967,1.1370277041479713,2.250956586777176,3642.0,14.32463261943987,30.743272926963208,1.3604734470029158,0.659966329107442,0.03804283360790528,11.66824546952224
ANGUILLARA SABAZIA,17530.0,11.491441642897888,14.712799961969957,2.480935926767814,3.7386515151208144,17530.0,22.45670998288648,62.47678741205552,5.9481675161346965,38.20420305821248,10.965268339988592,47.763987450085565
ANTICOLI CORRADO,794.0,21.371,25.6,,,794.0,19.666,63.3,,,-1.7049999999999983,37.699999999999996
ARCINAZZO ROMANO,1179.0,12.190932994062765,17.846536612948825,4.152131019127407,3.02877404608238,1179.0,13.598461407972858,30.60722363584959,5.166829250130104,1.225651754056688,1.407528413910093,12.760687022900765
ARICCIA,17837.0,2.811726355328811,5.151800564369943,0.2234457428549489,0.5539003119294621,17854.0,1.9496003136552031,33.26218774504313,0.0748687740872877,9.836967313452144,-0.8621260416736078,28.110387180673186
ARSOLI,1260.0,18.295,20.866666666666667,,,1260.0,20.811,43.95,,,2.5159999999999982,23.083333333333336
ARTENA,12903.0,9.691027900488256,12.507139166602082,3.295947784780578,4.116339393198767,12905.0,10.494915691592404,23.83474363941625,5.961313292108263,17.85265230839509,0.8038877911041471,11.327604472814167
