Comune,Popolazione_totale_driving,SI_mean_km_driving,SP_mean_km_driving,SS_mean_km_driving,IC_mean_km_driving,SI_mean_min_driving,SP_mean_min_driving,SS_mean_min_driving,IC_mean_min_driving,SI_St.Dv_km_driving,SP_St.Dv_km_driving,SS_St.Dv_km_driving,IC_St.Dv_km_driving,SI_St.Dv_min_driving,SP_St.Dv_min_driving,SS_St.Dv_min_driving,IC_St.Dv_min_driving,Popolazione_totale_transit,SI_mean_km_transit,SP_mean_km_transit,SS_mean_km_transit,IC_mean_km_transit,SI_mean_min_transit,SP_mean_min_transit,SS_mean_min_transit,IC_mean_min_transit,SI_St.Dv_km_transit,SP_St.Dv_km_transit,SS_St.Dv_km_transit,IC_St.Dv_km_transit,SI_St.Dv_min_transit,SP_St.Dv_min_transit,SS_St.Dv_min_transit,IC_St.Dv_min_transit,SI_diff_km,SI_diff_min,SP_diff_km,SP_diff_min,SS_diff_km,SS_diff_min,IC_diff_km,IC_diff_min
ACCUMOLI,369.0,4.913219512195122,4.913219512195122,14.299333333333337,14.299333333333337,7.364995483288166,7.364995483288166,17.643360433604336,17.643360433604336,4.768208919500068,4.768208919500068,3.863248654522081,3.863248654522081,6.405264038851748,6.405264038851748,5.097948025830989,5.097948025830989,369.0,6.135867208672087,6.135867208672087,65.9310840108401,65.9310840108401,44.69602529358627,44.69602529358627,157.01287262872626,157.01287262872626,6.697290486955652,6.697290486955652,20.779140556497197,20.779140556497197,45.63666289289786,45.63666289289786,74.88058845774236,74.88058845774236,1.2226476964769653,37.3310298102981,1.2226476964769653,37.3310298102981,51.63175067750676,139.36951219512193,51.63175067750676,139.36951219512193
ACQUAFONDATA,249.0,5.072522088353414,5.448522088353414,10.201437751004017,,8.566532797858098,9.149866131191432,17.29825970548862,,2.240821389580169,2.240821389580169,2.760544873752281,,3.759451053308478,3.759451053308477,4.855466564147627,,249.0,5.129373493975903,17.74484738955823,10.550638554216867,,56.77255689424365,93.88159303882192,31.350468540829983,,3.156524671216748,36.85864807612997,3.635943068861229,,7.719249027953147,95.82475396379697,0.0471404520791055,,0.05685140562248936,48.20602409638555,12.296325301204817,84.73172690763049,0.34920080321285063,14.052208835341364,,
ACQUAPENDENTE,4502.0,2.0065197689915597,1.7155219902265662,2.26151976899156,1.7155219902265662,4.685776691840663,3.03266326077299,5.408388864208501,3.03266326077299,6.573614353357418,6.888246850009564,6.573614353357418,6.888246850009564,7.557831050320267,8.427703160147226,7.686092539029079,8.427703160147226,4502.0,2.333693025322079,2.1182461128387384,2.353551088405154,2.1182461128387384,9.183744261809569,6.699278098622835,10.763827187916482,6.699278098622835,11.526206614349174,11.42871090718459,11.186132799140193,11.42871090718459,16.29543789826761,17.122783041143578,16.888684437724482,17.122783041143578,0.3271732563305192,4.497967569968906,0.4027241226121723,3.6666148378498447,0.09203131941359377,5.355438323707981,0.4027241226121723,3.6666148378498447
ACUTO,1766.0,0.8775583238958098,0.8775583238958098,0.8775583238958098,7.718231030577577,2.433484333710834,2.433484333710834,2.433484333710834,10.272291430728576,1.7239957463211253,1.7239957463211253,1.7239957463211253,1.6922914445606978,2.567983067903104,2.567983067903104,2.567983067903104,1.4349151478333078,1766.0,1.561877689694224,1.561877689694224,1.561877689694224,12.066115515288788,8.73693846734617,8.73693846734617,8.73693846734617,62.39012835032088,21.36009065991996,21.36009065991996,21.36009065991996,3.16486813838007,41.868220291414,41.868220291414,41.868220291414,20.940897872433837,0.6843193657984141,6.303454133635335,0.6843193657984141,6.303454133635335,0.6843193657984141,6.303454133635335,4.34788448471121,52.11783691959231
AFFILE,1325.0,0.2924732075471697,0.5214475471698113,0.5214475471698113,12.485212075471695,0.7653207547169811,1.4558867924528305,1.4558867924528305,19.23225157232704,5.804639566760368,1.4538115421195414,1.4538115421195414,1.7663527394039964,8.320289791961708,2.4277332820738136,2.4277332820738136,3.3823274366756486,1325.0,0.1600384905660377,0.4693411320754717,0.4693411320754717,9.335751698113208,2.1795220125786163,6.300176100628931,6.300176100628931,11.50491823899371,1.3732013690642753,1.3498668452851192,1.3498668452851192,2.5682118292695404,23.853068752026207,23.42880468331427,23.42880468331427,14.106780284671622,-0.13243471698113202,1.4142012578616352,-0.052106415094339664,4.844289308176101,-0.052106415094339664,4.844289308176101,-3.149460377358487,-7.7273333333333305
AGOSTA,1588.0,2.3665321158690173,2.3665321158690173,2.344197732997481,8.814869017632242,5.197533585222502,5.197533585222502,5.173793031066331,11.56685558354324,1.2034202646346508,1.2034202646346508,1.2031943594725945,1.1736573534611086,1.0171105588326612,1.0171105588326612,0.9930312739844156,1.3592192066962026,1588.0,1.3616933249370278,1.3616933249370278,1.342509445843829,8.970139168765742,9.563539042821157,9.563539042821157,9.343807724601175,25.68037363560034,1.5844434091082795,1.5844434091082795,1.5818953557889557,1.222472085570873,6.313072489624942,6.313072489624942,6.270867017259108,2.6786881808770446,-1.0048387909319896,4.366005457598654,-1.0048387909319896,4.366005457598654,-1.0016882871536519,4.170014693534845,0.15527015113350018,14.113518052057099
ALATRI,23292.0,5.413530520731965,5.470999036388269,4.943699875493731,4.57653604957353,9.014928031242643,9.05518990783674,9.031687560822029,7.9185867345965235,2.083599376663821,1.862579309407532,3.1395622524334126,3.225901837565499,2.695115554888772,2.3129752161193013,4.05582367563368,4.338341885727808,23292.0,8.794936601980654,9.265001049478125,5.45733517946076,5.277887271738508,43.79717308756464,48.37412217515472,28.95891865590474,25.902692149903643,4.37686290914573,4.242997159369194,8.313369080096514,8.488833557234697,27.089322545237128,28.47817863908288,52.01265647765391,52.56485002184378,3.381406081248689,34.782245056322,3.7940020130898553,39.318932267317976,0.5136353039670283,19.92723109508271,0.7013512221649778,17.98410541530712
ALBANO LAZIALE,38363.0,4.541615419371095,4.50707140734562,4.580386970084021,4.477968398369957,9.692403777366504,9.651213408753224,10.531882861669375,10.189825265663966,0.5798324675940376,0.6719456355560747,0.9665695835896324,0.9140730570208426,0.9197528015990952,1.1715377901078536,1.0928892745792218,1.1913449541688728,38363.0,5.278538257348661,5.2259772697651385,5.068699901815116,4.965478160380228,40.600029035500064,41.56451198637576,40.85196543544562,39.050772590487945,0.7387136607101847,1.0691301925263494,1.3754018258456988,1.3742724590366595,8.429029600922487,9.885228518205476,11.978761127250973,11.715849255921569,0.7369228379775654,30.90762525813356,0.7189058624195184,31.91329857762254,0.48831293173109547,30.320082573776247,0.4875097620102711,28.86094732482398
ALLUMIERE,3642.0,0.7115906095551894,0.9477948929159804,1.1831548599670512,4.4201705107084015,2.3484074684239427,3.264744645799012,3.319755628775398,8.279077429983525,1.1561195872400052,0.7191275964667189,1.039446968344225,0.8874190103891167,1.7913371790059205,0.1885618083164126,0.7188918942063233,1.62634559672906,3642.0,0.8155205930807249,1.1451647446457989,0.7281779242174629,4.7316960461285005,9.504956068094453,11.02107358594179,9.373517298187808,20.84514003294893,1.101672365088641,1.0875302294649098,1.723926332532803,1.096722617620334,5.032243259444263,7.129993376964355,14.24820164090893,4.973317694345385,0.10392998352553551,7.15654859967051,0.19736985172981847,7.756328940142779,-0.4549769357495883,6.05376166941241,0.311525535420099,12.566062602965404
ALVITO,979.0,1.15070480081716,1.3102145045965268,1.0511828396322778,1.0511828396322778,2.1424582907728973,2.802791964589717,1.8575417092271025,1.8575417092271025,1.953989559849285,1.9049138213228092,2.0610852157702424,2.0610852157702424,2.3034856839790208,2.087972612279584,2.646898954262152,2.646898954262152,979.0,1.2050500510725228,1.35855873340143,1.0505188968335035,1.0505188968335035,12.685478379298608,15.068896833503572,11.64077289751447,11.64077289751447,1.9268821102150144,1.881287192323384,2.0604484948670763,2.0604484948670763,11.711321287382404,11.65052057333189,12.043627483568352,12.043627483568352,0.05434525025536274,10.543020088525711,0.04834422880490319,12.266104868913855,-0.0006639427987742419,9.783231188287367,-0.0006639427987742419,9.783231188287367
