Comune,Popolazione_totale_driving,SI_mean_km_driving,SP_mean_km_driving,SS_mean_km_driving,IC_mean_km,SI_mean_min_driving,SP_mean_min_driving,SS_mean_min_driving,IC_mean_min,SI_St.Dv_km_driving,SP_St.Dv_km_driving,SS_St.Dv_km_driving,IC_St.Dv_km,SI_St.Dv_min_driving,SP_St.Dv_min_driving,SS_St.Dv_min_driving,IC_St.Dv_min,Popolazione_totale_transit,SI_mean_km_transit,SP_mean_km_transit,SS_mean_km_transit,SI_mean_min_transit,SP_mean_min_transit,SS_mean_min_transit,SI_St.Dv_km_transit,SP_St.Dv_km_transit,SS_St.Dv_km_transit,SI_St.Dv_min_transit,SP_St.Dv_min_transit,SS_St.Dv_min_transit,SI_diff_km,SI_diff_min,SP_diff_km,SP_diff_min,SS_diff_km,SS_diff_min
AFFILE,1325.0,0.2924732075471697,0.5214475471698113,0.5214475471698113,12.485212075471695,0.7653207547169811,1.4558867924528305,1.4558867924528305,19.23225157232704,5.804639566760368,1.4538115421195414,1.4538115421195414,1.7663527394039964,8.320289791961708,2.4277332820738136,2.4277332820738136,3.3823274366756486,1325.0,0.1600384905660377,0.4693411320754717,0.4693411320754717,2.176352201257861,6.2977106918239,6.2977106918239,1.3732013690642753,1.3498668452851192,1.3498668452851192,23.74700273484822,23.346308892175845,23.346308892175845,-0.13243471698113202,1.41103144654088,-0.052106415094339664,4.84182389937107,-0.052106415094339664,4.84182389937107
AGOSTA,1588.0,2.3665321158690173,2.3665321158690173,2.344197732997481,8.814869017632242,5.197533585222502,5.197533585222502,5.173793031066331,11.56685558354324,1.2034202646346508,1.2034202646346508,1.2031943594725945,1.1736573534611086,1.0171105588326612,1.0171105588326612,0.9930312739844156,1.3592192066962026,1588.0,1.3616933249370278,1.3616933249370278,1.342509445843829,9.573698572628045,9.573698572628045,9.320633921074728,1.5844434091082795,1.5844434091082795,1.5818953557889557,6.31880460741323,6.31880460741323,6.276593423187453,-1.0048387909319896,4.376164987405542,-1.0048387909319896,4.376164987405542,-1.0016882871536519,4.146840890008398
ALBANO LAZIALE,38363.0,4.541615419371095,4.50707140734562,4.580386970084021,4.477968398369957,9.692403777366504,9.651213408753224,10.531882861669375,10.189825265663966,0.5798324675940376,0.6719456355560747,0.9665695835896324,0.9140730570208426,0.9197528015990952,1.1715377901078536,1.0928892745792218,1.1913449541688728,38363.0,5.140958423480959,5.145396355863723,4.804401089591534,30.8080835990697,31.050685730174035,29.161174250652397,1.655885323434289,1.9472753000759069,2.127599748654852,12.702745432084582,13.06323785794829,14.216729915904136,0.5993430041098637,21.115679821703196,0.6383249485181031,21.39947232142081,0.2240141195075127,18.62929138898302
ALLUMIERE,3642.0,0.7115906095551894,0.9477948929159804,1.1831548599670512,4.4201705107084015,2.3484074684239427,3.264744645799012,3.319755628775398,8.279077429983525,1.1561195872400052,0.7191275964667189,1.039446968344225,0.8874190103891167,1.7913371790059205,0.1885618083164126,0.7188918942063233,1.62634559672906,3642.0,0.909990115321252,1.0887767710049423,0.8226474464579903,9.501029654036245,12.766858868753433,9.3695908841296,1.6687720036002522,1.7755451275594205,2.291025971044414,5.008673033404712,5.703994701571481,14.224631414869384,0.19839950576606258,7.152622185612302,0.1409818780889619,9.502114222954422,-0.3605074135090609,6.049835255354202
ANGUILLARA SABAZIA,17530.0,3.411358490207263,3.3472051720859484,3.253728123217342,3.253728123217342,6.789436204601636,6.369140204094569,5.827226659060657,5.827226659060657,3.2572367783603067,3.206731192571985,3.323471118082309,3.323471118082309,3.3562180762776883,3.2668995141365715,3.4648829910134262,3.4648829910134262,17530.0,4.164190777714393,4.150242080243393,4.160092527096405,39.31278570070356,38.93765861697406,38.87192907396844,11.059406907034097,10.983421116308971,11.292033528916829,39.48344452672189,39.39697803419333,45.09465129876908,0.7528322875071298,32.52334949610192,0.8030369081574444,32.56851841287949,0.9063644038790635,33.04470241490778
ANTICOLI CORRADO,794.0,6.671,0.375,0.375,,14.316666666666666,1.2333333333333334,1.2333333333333334,,,,,,,,,,794.0,4.955,0.38,0.38,73.56666666666666,5.6,5.6,,,,,,,-1.7160000000000002,59.25,0.0050000000000000044,4.366666666666666,0.0050000000000000044,4.366666666666666
ARCINAZZO ROMANO,1179.0,4.4631967769296015,4.485813825275658,2.4155852417302803,13.935306191687872,7.351130901894261,6.091171897087928,3.830011309018943,17.824512298558098,4.152838125908594,0.240416305603426,4.711452483045966,5.191577987471632,3.2644763064778943,0.5597928684393497,5.173664615681575,6.010407640085652,1179.0,4.336985581000849,4.454879558948261,2.2460992366412214,28.661832061068697,12.933898784280462,7.3881538026576195,5.283501869025883,0.0767210857587405,5.173900317941968,9.43987552884041,1.6322381532389512,6.446456821817357,-0.12621119592875285,21.310701159174435,-0.03093426632739682,6.842726887192534,-0.16948600508905898,3.5581424936386763
ARICCIA,17837.0,3.136066984358356,2.9886669843583564,2.144726355328811,2.144726355328811,6.61923342864084,5.979210442712715,4.184904038422007,4.184904038422007,0.3897572577900251,0.3897572577900251,0.2234457428549489,0.2234457428549489,0.789602572324979,0.7825315045131118,0.483189633810807,0.483189633810807,17837.0,2.743602713460784,2.7218022537422213,2.0633127207490047,32.71507148063015,32.311738147296815,33.88923492366055,0.1238851080638829,0.123743686707646,0.2114249275747778,3.610958629259304,3.610958629259304,3.3116167585569976,-0.3924642708975723,26.09583805198931,-0.26686473061613514,26.332527704584102,-0.08141363457980644,29.704330885238544
ARSOLI,1260.0,0.4660000000000001,0.158,0.025,,1.45,0.7333333333333333,0.1166666666666666,,,,,,,,,,1260.0,0.4309999999999999,0.158,0.025,6.35,3.0,0.45,,,,,,,-0.0350000000000002,4.8999999999999995,0.0,2.2666666666666666,0.0,0.3333333333333334
ARTENA,12903.0,3.686276354336201,2.990335522746648,2.1630035650623887,2.1630035650623887,6.06688651218063,4.91522288098375,4.168768245110956,4.168768245110956,0.7689383278261012,0.8736135694630663,1.7589702385202544,1.7589702385202544,0.9601255704912308,1.1397238639736864,2.2494258526714472,2.2494258526714472,12903.0,3.948222847399829,2.9627147562582343,1.7608236844144771,25.80989304812834,17.399236288718384,12.166853961610997,1.1536935936374095,1.143353272724576,1.93477112341486,4.209293949768247,9.041015433536458,12.32914005291709,0.2619464930636277,19.74300653594771,-0.027620766488413828,12.484013407734635,-0.40217988064791155,7.998085716500041
