Comune,Nucleo_ID,Popolazione,mean_km,St.Dv_km,mean_min,St.Dv_min,match_ratio
CASTEL MADAMA,5802310001,5770.0,11.344,,48.8,,1/1
CASTEL MADAMA,5802310002,126.0,3.04,,10.566666666666666,,1/1
CASTEL MADAMA,5802320002,53.0,10.638,,22.399999999999995,,1/1
CASTEL MADAMA,5802320005,115.0,9.971,,23.766666666666666,,1/1
CASTEL MADAMA,5802320004,48.0,9.523,,18.266666666666666,,1/1
CASTEL MADAMA,5802326603,23.0,5.418,,28.166666666666668,,1/1
CASTELNUOVO DI PORTO,5802410001,3937.0,61.802,,135.21666666666667,,1/1
CASTELNUOVO DI PORTO,5802410002,1680.0,56.35799999999999,,133.43333333333334,,1/1
CASTELNUOVO DI PORTO,5802420001,207.0,58.144,,121.68333333333334,,1/1
CASTELNUOVO DI PORTO,5802420005,449.0,59.98400000000001,,191.26666666666668,,1/1
CASTELNUOVO DI PORTO,5802420006,128.0,60.636,,130.96666666666667,,1/1
CASTELNUOVO DI PORTO,5802420004,910.0,55.590999999999994,,143.61666666666667,,1/1
CASTELNUOVO DI PORTO,5802420003,394.0,57.876,,118.34999999999998,,1/1
CASTEL SAN PIETRO ROMANO,5802510001,32.0,1.874,,25.916666666666668,,1/1
CASTEL SAN PIETRO ROMANO,5802510002,386.0,7.005,,26.133333333333333,,1/1
CASTEL SAN PIETRO ROMANO,5802520002,229.0,5.109,,20.46666666666666,,1/1
CASTEL SAN PIETRO ROMANO,5802510003,106.0,1.388,,21.100000000000005,,1/1
CASTEL SAN PIETRO ROMANO,5802526601,1.0,5.841,,30.983333333333334,,1/1
CAVE,5802610001,8340.0,7.376,,26.2,,1/1
CAVE,5802610002,1586.0,4.823,,36.833333333333336,,1/1
CAVE,5802620006,81.0,4.416,,29.783333333333335,,1/1
CAVE,5802620004,66.0,20.844,,66.13333333333334,,1/1
CERRETO LAZIALE,5802710001,1044.0,65.377,,170.75,,1/1
CERRETO LAZIALE,5802710002,25.0,68.438,,176.05,,1/1
CERVARA DI ROMA,5802810001,184.0,15.055999999999997,,42.166666666666664,,1/1
CERVARA DI ROMA,5802810002,42.0,8.511,,44.1,,1/1
CERVARA DI ROMA,5802820001,82.0,,,,,0/0
CERVARA DI ROMA,5802820006,39.0,8.56,,24.116666666666667,,1/1
CERVARA DI ROMA,5802826603,12.0,9.178,,67.25,,1/1
CERVARA DI ROMA,5802826705,13.0,7.697000000000001,,55.416666666666664,,1/1
CERVARA DI ROMA,5802826602,15.0,18.184,,116.16666666666667,,1/1
CERVETERI,5802910006,151.0,18.719,,41.1,,1/1
CERVETERI,5802910001,81.0,17.526,,60.550000000000004,,1/1
CERVETERI,5802910002,16299.0,21.168,,44.766666666666666,,1/1
CERVETERI,5802910004,299.0,15.151000000000002,,70.0,,1/1
CERVETERI,5802920001,179.0,17.99,,76.0,,1/1
CERVETERI,5802910005,3897.0,23.399,,58.7,,1/1
CERVETERI,5802910003,9601.0,30.717000000000002,,91.21666666666667,,1/1
CERVETERI,5802910007,47.0,31.529,,80.41666666666667,,1/1
CERVETERI,5802920014,52.0,82.11,,213.06666666666666,,1/1
CERVETERI,5802920005,60.0,15.442,,38.016666666666666,,1/1
CERVETERI,5802920013,152.0,80.287,,189.0,,1/1
CERVETERI,5802920006,100.0,20.43,,65.9,,1/1
CERVETERI,5802920011,144.0,73.504,,271.1666666666667,,1/1
CERVETERI,5802920004,93.0,80.954,,197.71666666666667,,1/1
CERVETERI,5802920003,42.0,81.737,,207.81666666666666,,1/1
CERVETERI,5802926620,14.0,24.318,,66.1,,1/1
CERVETERI,5802926612,30.0,,,,,0/0
CERVETERI,5802920019,38.0,26.743,,79.93333333333334,,1/1
CERVETERI,5802926622,32.0,72.544,,242.88333333333333,,1/1
CERVETERI,5802926607,32.0,20.219,,52.0,,1/1
CERVETERI,5802926615,37.0,13.382,,35.65,,1/1
CERVETERI,5802926609,19.0,48.731,,197.9,,1/1
CERVETERI,5802926610,16.0,20.84,,62.016666666666666,,1/1
CERVETERI,5802926616,20.0,14.473000000000003,,39.95,,1/1
CERVETERI,5802926717,16.0,16.256,,39.36666666666667,,1/1
CICILIANO,5803010001,1057.0,14.727,,37.95,,1/1
CICILIANO,5803020001,56.0,13.682,,22.633333333333333,,1/1
CINETO ROMANO,5803110001,491.0,24.453,,80.86666666666666,,1/1
CINETO ROMANO,5803120001,75.0,19.966,,77.8,,1/1
CIVITELLA SAN PAOLO,5803310001,1372.0,71.07,,152.6,,1/1
CIVITELLA SAN PAOLO,5803320002,100.0,67.978,,146.75,,1/1
CIVITELLA SAN PAOLO,5803326601,13.0,73.489,,156.86666666666667,,1/1
COLLEFERRO,5803410001,19545.0,0.269,,3.75,,1/1
COLLEFERRO,5803420002,64.0,2.818,,15.55,,1/1
COLLEFERRO,5803420001,38.0,4.395,,9.2,,1/1
COLLEFERRO,5803410003,873.0,4.421,,9.2,,1/1
COLONNA,5803510001,3854.0,15.843,,65.66666666666667,,1/1
COLONNA,5803510002,21.0,36.668,,111.51666666666667,,1/1
COLONNA,5803526601,40.0,39.004,,115.55,,1/1
FIANO ROMANO,5803610001,13944.0,62.683,,139.58333333333334,,1/1
FILACCIANO,5803710001,370.0,109.889,,208.08333333333337,,1/1
FORMELLO,5803810001,8039.0,54.077,,120.86666666666666,,1/1
FORMELLO,5803810002,3217.0,23.304,,87.15000000000002,,1/1
FORMELLO,5803820001,144.0,50.559,,161.61666666666667,,1/1
FORMELLO,5803820007,159.0,52.911,,128.88333333333333,,1/1
FORMELLO,5803820005,263.0,53.355,,150.55,,1/1
FORMELLO,5803820014,198.0,51.853,,128.81666666666666,,1/1
FORMELLO,5803820013,74.0,51.576,,125.41666666666667,,1/1
FRASCATI,5803910001,22080.0,2.332,,38.88333333333333,,1/1
GALLICANO NEL LAZIO,5804010001,1575.0,16.878,,45.5,,1/1
GALLICANO NEL LAZIO,5804010002,3962.0,13.938,,36.8,,1/1
GALLICANO NEL LAZIO,5804020003,75.0,15.514,,42.333333333333336,,1/1
GALLICANO NEL LAZIO,5804026604,11.0,19.257,,48.11666666666667,,1/1
GALLICANO NEL LAZIO,5804026606,26.0,15.05,,36.43333333333333,,1/1
GAVIGNANO,5804110001,754.0,6.8740000000000006,,12.783333333333333,,1/1
GAVIGNANO,5804120005,48.0,6.277,,39.516666666666666,,1/1
GAVIGNANO,5804120008,121.0,11.354,,31.933333333333334,,1/1
GAVIGNANO,5804120009,65.0,6.634,,19.3,,1/1
GAVIGNANO,5804120010,102.0,11.634,,22.3,,1/1
GAVIGNANO,5804120006,65.0,5.257,,24.783333333333335,,1/1
GAVIGNANO,5804120011,37.0,7.655,,19.75,,1/1
