Comune,Nucleo_ID,Popolazione,mean_km,St.Dv_km,mean_min,St.Dv_min,match_ratio
AFFILE,5800110001,1297.0,0.158,,0.8166666666666667,,1/1
AFFILE,5800126602,20.0,3.322,,5.416666666666667,,1/1
AFFILE,5800126701,28.0,8.367,,12.533333333333333,,1/1
AGOSTA,5800210001,1010.0,1.5095,0.4716402230514272,4.516666666666667,1.4142135623730951,2/2
AGOSTA,5800210002,389.0,4.243,0.47093311627024026,6.833333333333333,1.4142135623730951,2/2
AGOSTA,5800220002,142.0,2.334,0.4709331162702406,5.066666666666666,1.4142135623730951,2/2
AGOSTA,5800220003,47.0,3.4459999999999997,0.4582051942088829,6.658333333333333,1.590990257669732,2/2
ALBANO LAZIALE,5800310001,27443.0,2.6203333333333334,0.497933061096904,5.477777777777777,0.9833804131855773,3/3
ALBANO LAZIALE,5800310002,9433.0,3.283,1.9403765098557544,5.783333333333333,3.313775959703841,3/3
ALBANO LAZIALE,5800320002,1096.0,4.467666666666666,0.9211299220703523,8.188888888888888,1.740157506706835,3/3
ALBANO LAZIALE,5800320007,38.0,5.206333333333334,0.9362570872005902,9.183333333333334,1.7776388834631178,3/3
ALBANO LAZIALE,5800320008,87.0,2.178,0.3000716581085258,4.722222222222222,1.1739455473522389,3/3
ALBANO LAZIALE,5800320014,134.0,4.811333333333333,2.6893940457533057,8.55,4.787831798772105,3/3
ALBANO LAZIALE,5800320010,81.0,5.521333333333334,2.6893940457533057,9.722222222222221,4.790509522115731,3/3
ALBANO LAZIALE,5800320011,51.0,5.959333333333333,2.6893940457533057,10.472222222222221,4.790509522115731,3/3
ALLUMIERE,5800410001,3213.0,0.5595000000000001,0.0007071067811865482,2.3166666666666664,0.047140452079103314,2/2
ALLUMIERE,5800410002,429.0,2.1399999999999997,0.03676955262170051,4.508333333333334,0.1767766952966369,2/2
ANGUILLARA SABAZIA,5800510001,14440.0,0.8839999999999999,0.032908965343808695,1.383333333333333,0.2886751345948129,3/3
ANGUILLARA SABAZIA,5800510002,206.0,4.692333333333333,0.557706314589797,6.683333333333334,0.7686568371733469,3/3
ANGUILLARA SABAZIA,5800520001,257.0,3.912,0.495531028291872,6.216666666666666,1.039764930698815,3/3
ANGUILLARA SABAZIA,5800520007,172.0,3.057,0.45899346400575247,5.772222222222221,0.4233901974057256,3/3
ANGUILLARA SABAZIA,5800520008,175.0,2.4193333333333333,0.41167503365316355,4.844444444444445,0.3671713698190735,3/3
ANGUILLARA SABAZIA,5800520009,58.0,1.8616666666666668,0.4118256103417239,3.677777777777778,0.3671713698190735,3/3
ANGUILLARA SABAZIA,5800520005,77.0,12.502666666666666,0.1340049750320242,14.92222222222222,0.37577081273524116,3/3
ANGUILLARA SABAZIA,5800520006,44.0,7.795000000000001,0.1336525345812795,10.027777777777779,0.36717136981907306,3/3
ANGUILLARA SABAZIA,5800520004,1732.0,10.336,0.13365253458127938,12.055555555555555,0.3757708127352412,3/3
ANGUILLARA SABAZIA,5800520003,343.0,6.82,0.133652534581279,8.355555555555554,0.37577081273524116,3/3
ANGUILLARA SABAZIA,5800526702,26.0,2.5120000000000005,0.19109421759959144,5.844444444444444,0.07698003589195035,3/3
ANTICOLI CORRADO,5800610001,794.0,0.3,,0.95,,1/1
ARCINAZZO ROMANO,5800810001,311.0,7.976,,11.45,,1/1
ARCINAZZO ROMANO,5800810002,868.0,0.491,,1.6333333333333333,,1/1
ARICCIA,5800910001,17796.0,3.62,0.48507525189397155,6.408333333333333,0.2239171473757399,2/2
ARICCIA,5800926702,41.0,4.523499999999999,1.3159257197881646,7.908333333333333,0.8367430244040814,2/2
ARICCIA,5800926701,17.0,4.873,3.71938166904124,8.566666666666666,5.138309276622245,2/2
ARSOLI,5801010001,1260.0,16.039,,17.683333333333334,,1/1
ARTENA,5801110001,9909.0,1.0553333333333332,0.041884762543595,2.211111111111111,0.09622504486493755,3/3
ARTENA,5801110004,386.0,2.8859999999999997,0.22596681172242963,4.3500000000000005,0.6064468466220083,3/3
ARTENA,5801110002,907.0,5.7059999999999995,0.042461747491124364,8.794444444444444,0.09179284245476885,3/3
ARTENA,5801110005,96.0,3.7640000000000007,0.042461747491124364,5.466666666666667,0.08660254037844355,3/3
ARTENA,5801110003,1605.0,5.226000000000001,0.042461747491124364,6.3,0.08660254037844407,3/3
ARTENA,5801120204,2.0,6.333000000000001,0.042461747491124094,8.077777777777778,0.09179284245476826,3/3
BELLEGRA,5801210001,1797.0,18.085,12.061827473480129,25.9,13.977144041454089,2/2
BELLEGRA,5801220004,154.0,16.7035,16.336287965752806,22.566666666666666,20.765369140844946,2/2
BELLEGRA,5801220003,81.0,19.967000000000002,13.724942622830888,27.608333333333334,16.063109045954405,2/2
BELLEGRA,5801226602,26.0,18.1465,16.33628796575281,24.708333333333336,20.75358402782517,2/2
BRACCIANO,5801310006,886.0,4.505333333333333,0.329044576514085,8.45,2.37860836998817,3/3
BRACCIANO,5801310001,12279.0,1.1949999999999998,0.6352692342621354,4.566666666666666,3.838728087965248,3/3
BRACCIANO,5801310004,373.0,3.0283333333333333,0.11278445519367163,6.927777777777779,1.759287524139415,3/3
BRACCIANO,5801310002,240.0,6.946666666666667,0.6989594647283444,8.477777777777778,1.7001089289720144,3/3
BRACCIANO,5801310005,1465.0,2.6373333333333333,0.3005267597624766,4.794444444444444,0.8598018720956936,3/3
BRACCIANO,5801310003,280.0,2.54,0.3476219210579219,7.377777777777778,1.3968549329489095,3/3
BRACCIANO,5801320005,143.0,1.966,0.554992792745996,4.944444444444444,1.9333572795451883,3/3
